"species","ref.date","authority","described"
"Thinocorus koepckeae","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Titanohierax gloveralleni","Olson, S.L. & López, E.J.M. (2008) Caribbean Journal of Science, 44, 215–222.","Wetmore 1937",1937
"Tringa ameghini","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Tympanuchus ceres","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Shufeldt 1913",1913
"Tyto cavatica","Wetmore, A. (1920). Proceedings of the Biological Society of Washington, 33, 77–82.","Wetmore 1920",1920
"Tyto cravesae",NA,"Suárez & Olson 2015",2015
"Tyto letocarti","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Tyto noeli","Suarez, W. & Diaz-Franco, S. (2003) Caribbean Journal of Science, 7.","Arredondo 1972",1972
"Tyto ostologa","Suárez, W. & Olson, S.L. (2015) Zootaxa, 4020, 533.","Wetmore 1922",1922
"Tyto pollens","PaleoDB","Wetmore 1937",1937
"Vanellus madagascarensis","Hume, J.P. & Walters, M. (2017) Extinct Birds 2nd Edition","Goodman 1996",1996
"Vangulifer mirandus","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Vangulifer neophasis","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Viator picis","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Vini sinotoi","Steadman, D.W. & Pahlavan, D.S. (1992) Geoarchaeology, 7, 449–483.","Steadman & Zarriello 1987",1987
"Vini vidivici","Steadman, D.W. & Pahlavan, D.S. (1992) Geoarchaeology, 7, 449–483.","Steadman & Zarriello 1987",1987
"Vitirallus watlingi","Worthy, T.H. (2004) Journal of the Royal Society of New Zealand, 34, 295–314.","Worthy 2004",2004
"Vorombe titan","Hansford, J.P. & Turvey, S.T. (2018) Royal Society Open Science, 5, 28.","Andrews 1894",1894
"Wingegyps cartellei","Alvarenga, H.M. & Olson, S.L. (2004). Proceedings of the Biological Society of Washington, 117, 1–9.","Alvarenga & Olson 2004",2004
