"x","y","Elev","Temp","Prec","varT","varP","all_spp"
-6446392,7256101,119.514138769252,-11.5,279.61113137764,48.9583020556797,58,43
-6333392,7256101,27.8734114238455,-11.8327187161696,248,48.7,62,39
-6220392,7256101,7.81332081818601,-11.0089295897338,254,48.2435870533368,61.2661362533342,39
-6107392,7256101,102.2024266073,-10.6,279.251502834791,48.1512032418135,58.3099482482597,37
-5994392,7256101,119.408678213658,-9.95263881941395,295.288059415396,47.0427958323056,53.784448260234,39
-5881392,7256101,78.100628897129,-9.73883863416471,300.583427337175,45.7,50.7411728561979,39
-5768392,7256101,99.0371001770673,-10,286.434211219908,43.4276077785384,48.9079175550367,38
-5655392,7256101,73.8484648233082,-10,283.903122235359,42.6,48.9743627767421,39
-5542392,7256101,184.682749997036,-8.42995122226811,356.393094102147,38.5,39,42
-5429392,7256101,167.949528893507,-8.3585980836519,372.154805580337,38.9,36.5066872610616,30
-5316392,7256101,33.8032255506255,-8.1,357.069591940127,39.8,40.9064990678496,26
-5203392,7256101,2.51499133929333,-8.7,319,40.2,45,32
-5090392,7256101,292.890571525795,-7.98063690796722,385.222014649871,39.2292338201495,41.4081028448358,38
-4977392,7256101,583.585720852436,-7.93052656896663,478.158584661516,39.062444120552,37.2969655382931,38
-4864392,7256101,662.234099336819,-8.59620125334198,505.529780661178,36.6697745786831,36.5149181671039,35
-4751392,7256101,653.588674387289,-7.6,487.814807140515,33.8135152593592,40.26141008581,36
-4638392,7256101,769.764099701365,-6.61297475921242,525.644429021927,30.447821205484,42.2478866153308,36
-4525392,7256101,152.871606484689,-6.8,460.035889128581,31,51.5260232723183,34
-11983392,7143101,33.2037766467107,-1.06775887047943,665.93706843332,28.9,59.0970898645851,81
-11870392,7143101,34.2204378632959,-1.15933829252875,616.082710945797,30.3498196739894,59.2798524669026,92
-11757392,7143101,79.8555933073572,-1.45198816128908,538.815620857633,32.0973578923691,61.208529139227,106
-11644392,7143101,362.793050062877,-1.6,505.497654207399,34.11934105927,61.7503179638764,115
