"Archip","Elev","Temp","Prec","varT","varP"
"Sado*",24.3969429,8.777631223,1298.813877,30.64112756,21.04572366
"Samoan*",896.5267179,26.8,5347.897254,6.5,27.21831123
"Sardinia*",1102.91957,16.57093521,912.1746683,18.73610751,33.30946641
"Sardinia*",1445.892345,15.80046891,938.7098826,19.23771545,32.79026607
"Sardinia*",737.1201648,16.66788944,894.6627638,19.2829283,49.43288585
"Sardinia*",1150.746026,17.40072378,956.7485757,21.14593162,48.14632527
"Schouten*",569.6456658,27,3172.474748,8,6.974397867
"Schouten*",1695.127411,26.9,3134.819598,8.4,9.132631821
"Schouten*",372.0264493,27,3164.562104,8.100201482,7.16980824
"Schouten*",676.2166333,27,2802.624492,8.462002165,13.38979147
"Schouten*",172.8307843,27,2679.388014,8.1,9
"Schouten*",0.232256784,27,2646,8.1,9
"Society*",166.9705513,26.2,1987.522045,8.84648256,55.00838571
"Society*",574.1191171,25.9,2435.655741,9.108922917,46.58098001
"Society*",0,26,1826.427268,8.70049397,54
"Society*",34.5706675,26.46572811,2106.420209,7.6,43.73335202
"Society*",0,26.38407344,1955.973454,7.9,47.50194645
"Society*",3.834583893,26.8,2034.966783,7.2,43
"Society*",0,26.67840055,1969.852144,7.3,43
"Socotra*",0,26.67078922,74.86301464,14.31547318,94.8099311
"Solomon*",958.8163015,27,4318.976868,7.5,8.918034247
"Solomon*",352.6946205,27.15608534,3756.005361,7.149099367,15
"Sulawesi",1090.203755,27,2605.739204,9.7,15
"Sulawesi",1787.457307,27,2517.537819,9.852842911,9.997574312
"Sulawesi",2093.331221,27.4,2709.636325,9.901852353,20.05736733
"Sulawesi",2105.799745,26.99985555,3074.474847,9.930634219,20.6693096
"Sulawesi",1299.537622,27.0540764,2918.709041,9.916833484,25.61125933
"Sulawesi",1881.726918,26.89842241,2763.168699,9.8,23
"Sulawesi",2036.798266,26.96641169,3226.611366,10.16742358,22.90631928
"Sulawesi",1478.781282,27,2789.622423,10.0690535,27.22668969
"Sulawesi",600.0451487,26.9,2981.792371,10.50970377,20.46937547
"Sumatran*",441.3855203,27.1,3055.510791,10.12574931,23
"Sumatran*",41.1892043,26.9,3291,10,31
"Sumatran*",32.3956757,26.88679688,3287.383136,10.01106632,31
"Sumatran*",118.761637,27,3422.127662,9.709049046,26
"Sumatran*",97.59824137,27,3403.081465,9.6,29
"Sumatran*",63.14736066,27.1,3450.711275,9.5,24
"Sumatran*",42.28333567,27.2,3842,9.2,22
"Sumatran*",129.8186056,27,3577.421077,9.748711633,22
"Sumatran*",92.49899497,27,3988.165401,10.1,24
"Sumatran*",422.8638643,27,3428.579969,10.5,24.13852899
"Sumatran*",254.5412345,26.8,4043.878371,10.8,20
"Sumatran*",5.509861885,27.1,3318.280002,10.1,22
"Sumatran*",63.99061939,27.2,3404,9.8,19
"Sumatran*",0,27.2,3406,9.5,19
"Sumatran*",56.38538784,26.9,3760.896778,10.5,24.82213445
"Sumatran*",15.32875132,27,4101.012796,10.50041332,21
"Tonga*",26.36710172,23.6,1655.911153,10.9,23
"Tonga*",10.92271109,23.70411059,1729.708745,11,24
"Tonga*",0.558677561,24.29466739,1772.566752,10.30216841,26
"Tonga*",0,24.6,2118.160523,9.9,35.59534204
"Tonga*",8.069903727,25.1,2226.834355,9.303806791,37.83193543
"Tonga*",30.80868201,24.9,2146.142985,9.1,30.39293077
"Tonga*",0,25.1,2246,9.1,38
"Tuamotu*",0,26.9,1706.463645,7.5,20
"Tuamotu*",0,26.9,1443.543573,7.5,22
"Tuamotu*",0,26.9,1483.728898,7.5,28
"Tuamotu*",0,26.9,1405.440422,7.5,29
"Tuamotu*",0,26.9,1489.397457,7.5,22.40063587
"Tuamotu*",0,26.9,1405.217865,7.5,29
"Tuamotu*",0,26.9,1498.656719,7.5,30.26865623
"Tuamotu*",0,26.9,1466.957683,7.5,31
"Tuamotu*",0,26.9,1392,7.5,35
"Tuamotu*",0,26.9,1369.241367,7.5,35.37931668
"Tuamotu*",0,26.9,1491.718711,7.5,35
"Tuamotu*",0,26.9,1438,7.5,34
"Tuamotu*",0,26.9,1520.486686,7.5,38
"Tuamotu*",0,26.9,1489,7.5,36
"Tuamotu*",0,26.9,1612.458662,7.5,39
"Tuamotu*",0,26.9,1414,7.5,36.11947062
"Tuamotu*",0,26.9,1526.853379,7.5,38.52443678
"Tuamotu*",0,26.9,1316,7.5,36
"Tuamotu*",0,26.9,1573.330513,7.5,39
"Tuamotu*",0,26.9,1506.199005,7.5,37
"Tuamotu*",0,26.9,1588.783395,7.5,39
"Tuamotu*",0,26.9,1541.342121,7.5,39
"Tuamotu*",0,26.9,1315.647446,7.5,36
"Tuamotu*",0,26.9,1672.775385,7.5,42
"Tuamotu*",0,26.9,1598.024991,7.5,38
"Tuamotu*",0,26.9,1543.540452,7.5,39
"Tuamotu*",0,26.9,1578.960279,7.5,39
"Tuamotu*",0,26.9,1603,7.5,39
"Tuamotu*",0,26.9,1402,7.5,37
"Tuamotu*",0,26.9,1671.722772,7.5,35
"Tuamotu*",0,26.9,1637,7.5,37.99542635
"Tuamotu*",0,26.9,1674.199481,7.5,37.98534525
"Tuamotu*",0,26.9,1179.522775,7.5,35
"Tuamotu*",0,26.9,1579.947172,7.5,38
"Tuamotu*",0,26.9,1573.526449,7.5,39
"Tuamotu*",0,26.9,1627.713485,7.5,36
"Tuamotu*",0,26.9,1278,7.5,30
"Tuvalu*",0,27.1,3470.058344,7,19
"Tuvalu*",0,28.2,3114.680277,6.1,23
"Tuvalu*",0,28.2,3303.940383,6.233664539,28
"Ulleungdo",0,13.68284946,1387.074948,27.71457483,23
"Vanuatu",791.6011254,25.57699861,3646.93059,8.577615628,24.07126938
"Wake*",0,26.76431434,884.5975027,8.6,49
"Wallis*",6.782853215,27.2,3189.647152,6.8,25
"Windward*",193.5343845,26.2,2241.390681,9.762517822,36.10421031
"Windward*",75.79368473,26.1348484,1427.935453,10.8,45.05126004
"Yucatan*",0,26.66931092,2577.371622,10.62162355,58
"Yucatan*",0.277101694,26.9,2458.061696,9.6,59.89910815
"Yucatan*",7.105168283,26.4,1343.521463,12,46
"Yucatan*",7.679087656,26.1,1394.457873,13.6,51.15312509
"Yucatan*",28.92268366,26.1,1378.809176,13.74854081,50
"Zanzibar*",92.35832889,26.7345263,1885.388647,12.23253676,58.15901963
